Time (s),Distance (cm)
25.126890897750854,36.4
25.126890897750854,36.3
25.280500411987305,36.4
25.33950901031494,36.3
25.530120134353638,36.3
25.530120134353638,36.3
25.53950572013855,36.3
25.736303091049194,36.4
25.739617824554443,36.3
25.9407479763031,36.3
25.9407479763031,36.4
25.959857940673828,36.4
26.145037174224854,36.4
26.15923833847046,36.3
26.298505306243896,36.4
26.55475878715515,36.2
26.559767723083496,36.3
26.559767723083496,36.3
26.75948190689087,36.3
26.964386701583862,36.3
26.979607582092285,36.3
27.168389320373535,36.3
27.169392347335815,36.3
27.373961687088013,36.3
27.37934422492981,36.4
27.578811645507812,36.4
27.579811334609985,36.3
27.58181095123291,36.3
27.783684015274048,36.5
27.785103797912598,36.3
27.80021381378174,36.3
27.840397357940674,36.3
27.98885488510132,36.4
28.193084955215454,36.4
28.199920415878296,36.3
28.28402853012085,36.3
28.299863576889038,36.3
28.398324966430664,36.4
28.39989423751831,36.5
28.602693557739258,36.5
28.603886365890503,36.4
28.8078875541687,36.4
28.80903148651123,35.6
28.80903148651123,35.5
29.014212608337402,35.6
29.01472020149231,36.3
29.01528573036194,36.3
29.019121646881104,36.5
29.216817617416382,36.5
29.216817617416382,36.4
29.217815160751343,36.3
29.259806632995605,36.4
29.31950354576111,36.4
29.359198570251465,36.4
29.44012212753296,36.3
29.627424478530884,36.4
29.63963222503662,36.5
29.831276178359985,36.5
29.832277536392212,36.4
29.840692281723022,36.5
